simulation_id,sim_type,roster,agent,w,eps,c,convergence_round
1,1v3,Random | Random | Random | Leader Copier,Random 1,10,0.005,3,38
1,1v3,Random | Random | Random | Leader Copier,Random 1,10,0.01,3,26
1,1v3,Random | Random | Random | Leader Copier,Random 1,10,0.02,3,21
1,1v3,Random | Random | Random | Leader Copier,Random 1,20,0.005,5,54
1,1v3,Random | Random | Random | Leader Copier,Random 1,20,0.01,5,44
1,1v3,Random | Random | Random | Leader Copier,Random 1,20,0.02,5,34
1,1v3,Random | Random | Random | Leader Copier,Random 1,30,0.005,7,69
1,1v3,Random | Random | Random | Leader Copier,Random 1,30,0.01,7,55
1,1v3,Random | Random | Random | Leader Copier,Random 1,30,0.02,7,45
1,1v3,Random | Random | Random | Leader Copier,Random 2,10,0.005,3,35
1,1v3,Random | Random | Random | Leader Copier,Random 2,10,0.01,3,26
1,1v3,Random | Random | Random | Leader Copier,Random 2,10,0.02,3,21
1,1v3,Random | Random | Random | Leader Copier,Random 2,20,0.005,5,51
1,1v3,Random | Random | Random | Leader Copier,Random 2,20,0.01,5,40
1,1v3,Random | Random | Random | Leader Copier,Random 2,20,0.02,5,33
1,1v3,Random | Random | Random | Leader Copier,Random 2,30,0.005,7,70
1,1v3,Random | Random | Random | Leader Copier,Random 2,30,0.01,7,54
1,1v3,Random | Random | Random | Leader Copier,Random 2,30,0.02,7,44
1,1v3,Random | Random | Random | Leader Copier,Random 3,10,0.005,3,35
1,1v3,Random | Random | Random | Leader Copier,Random 3,10,0.01,3,28
1,1v3,Random | Random | Random | Leader Copier,Random 3,10,0.02,3,20
1,1v3,Random | Random | Random | Leader Copier,Random 3,20,0.005,5,53
1,1v3,Random | Random | Random | Leader Copier,Random 3,20,0.01,5,41
1,1v3,Random | Random | Random | Leader Copier,Random 3,20,0.02,5,33
1,1v3,Random | Random | Random | Leader Copier,Random 3,30,0.005,7,67
1,1v3,Random | Random | Random | Leader Copier,Random 3,30,0.01,7,54
1,1v3,Random | Random | Random | Leader Copier,Random 3,30,0.02,7,45
1,1v3,Random | Random | Random | Leader Copier,Leader Copier,10,0.005,3,73
1,1v3,Random | Random | Random | Leader Copier,Leader Copier,10,0.01,3,47
1,1v3,Random | Random | Random | Leader Copier,Leader Copier,10,0.02,3,31
1,1v3,Random | Random | Random | Leader Copier,Leader Copier,20,0.005,5,
1,1v3,Random | Random | Random | Leader Copier,Leader Copier,20,0.01,5,78
1,1v3,Random | Random | Random | Leader Copier,Leader Copier,20,0.02,5,53
1,1v3,Random | Random | Random | Leader Copier,Leader Copier,30,0.005,7,
1,1v3,Random | Random | Random | Leader Copier,Leader Copier,30,0.01,7,
1,1v3,Random | Random | Random | Leader Copier,Leader Copier,30,0.02,7,73
2,1v3,Random | Random | Random | Self Copier,Random 1,10,0.005,3,36
2,1v3,Random | Random | Random | Self Copier,Random 1,10,0.01,3,24
2,1v3,Random | Random | Random | Self Copier,Random 1,10,0.02,3,20
2,1v3,Random | Random | Random | Self Copier,Random 1,20,0.005,5,53
2,1v3,Random | Random | Random | Self Copier,Random 1,20,0.01,5,40
2,1v3,Random | Random | Random | Self Copier,Random 1,20,0.02,5,32
2,1v3,Random | Random | Random | Self Copier,Random 1,30,0.005,7,63
2,1v3,Random | Random | Random | Self Copier,Random 1,30,0.01,7,54
2,1v3,Random | Random | Random | Self Copier,Random 1,30,0.02,7,43
2,1v3,Random | Random | Random | Self Copier,Random 2,10,0.005,3,33
2,1v3,Random | Random | Random | Self Copier,Random 2,10,0.01,3,26
2,1v3,Random | Random | Random | Self Copier,Random 2,10,0.02,3,20
2,1v3,Random | Random | Random | Self Copier,Random 2,20,0.005,5,52
2,1v3,Random | Random | Random | Self Copier,Random 2,20,0.01,5,39
2,1v3,Random | Random | Random | Self Copier,Random 2,20,0.02,5,33
2,1v3,Random | Random | Random | Self Copier,Random 2,30,0.005,7,71
2,1v3,Random | Random | Random | Self Copier,Random 2,30,0.01,7,52
2,1v3,Random | Random | Random | Self Copier,Random 2,30,0.02,7,44
2,1v3,Random | Random | Random | Self Copier,Random 3,10,0.005,3,37
2,1v3,Random | Random | Random | Self Copier,Random 3,10,0.01,3,26
2,1v3,Random | Random | Random | Self Copier,Random 3,10,0.02,3,20
2,1v3,Random | Random | Random | Self Copier,Random 3,20,0.005,5,49
2,1v3,Random | Random | Random | Self Copier,Random 3,20,0.01,5,40
2,1v3,Random | Random | Random | Self Copier,Random 3,20,0.02,5,33
2,1v3,Random | Random | Random | Self Copier,Random 3,30,0.005,7,64
2,1v3,Random | Random | Random | Self Copier,Random 3,30,0.01,7,53
2,1v3,Random | Random | Random | Self Copier,Random 3,30,0.02,7,44
2,1v3,Random | Random | Random | Self Copier,Self Copier,10,0.005,3,39
2,1v3,Random | Random | Random | Self Copier,Self Copier,10,0.01,3,30
2,1v3,Random | Random | Random | Self Copier,Self Copier,10,0.02,3,23
2,1v3,Random | Random | Random | Self Copier,Self Copier,20,0.005,5,62
2,1v3,Random | Random | Random | Self Copier,Self Copier,20,0.01,5,47
2,1v3,Random | Random | Random | Self Copier,Self Copier,20,0.02,5,37
2,1v3,Random | Random | Random | Self Copier,Self Copier,30,0.005,7,75
2,1v3,Random | Random | Random | Self Copier,Self Copier,30,0.01,7,61
2,1v3,Random | Random | Random | Self Copier,Self Copier,30,0.02,7,49
3,1v3,Random | Random | Random | Frequency Copier,Random 1,10,0.005,3,34
3,1v3,Random | Random | Random | Frequency Copier,Random 1,10,0.01,3,25
3,1v3,Random | Random | Random | Frequency Copier,Random 1,10,0.02,3,20
3,1v3,Random | Random | Random | Frequency Copier,Random 1,20,0.005,5,53
3,1v3,Random | Random | Random | Frequency Copier,Random 1,20,0.01,5,40
3,1v3,Random | Random | Random | Frequency Copier,Random 1,20,0.02,5,32
3,1v3,Random | Random | Random | Frequency Copier,Random 1,30,0.005,7,67
3,1v3,Random | Random | Random | Frequency Copier,Random 1,30,0.01,7,53
3,1v3,Random | Random | Random | Frequency Copier,Random 1,30,0.02,7,44
3,1v3,Random | Random | Random | Frequency Copier,Random 2,10,0.005,3,34
3,1v3,Random | Random | Random | Frequency Copier,Random 2,10,0.01,3,26
3,1v3,Random | Random | Random | Frequency Copier,Random 2,10,0.02,3,20
3,1v3,Random | Random | Random | Frequency Copier,Random 2,20,0.005,5,53
3,1v3,Random | Random | Random | Frequency Copier,Random 2,20,0.01,5,40
3,1v3,Random | Random | Random | Frequency Copier,Random 2,20,0.02,5,33
3,1v3,Random | Random | Random | Frequency Copier,Random 2,30,0.005,7,64
3,1v3,Random | Random | Random | Frequency Copier,Random 2,30,0.01,7,53
3,1v3,Random | Random | Random | Frequency Copier,Random 2,30,0.02,7,44
3,1v3,Random | Random | Random | Frequency Copier,Random 3,10,0.005,3,37
3,1v3,Random | Random | Random | Frequency Copier,Random 3,10,0.01,3,26
3,1v3,Random | Random | Random | Frequency Copier,Random 3,10,0.02,3,20
3,1v3,Random | Random | Random | Frequency Copier,Random 3,20,0.005,5,53
3,1v3,Random | Random | Random | Frequency Copier,Random 3,20,0.01,5,43
3,1v3,Random | Random | Random | Frequency Copier,Random 3,20,0.02,5,33
3,1v3,Random | Random | Random | Frequency Copier,Random 3,30,0.005,7,67
3,1v3,Random | Random | Random | Frequency Copier,Random 3,30,0.01,7,55
3,1v3,Random | Random | Random | Frequency Copier,Random 3,30,0.02,7,45
3,1v3,Random | Random | Random | Frequency Copier,Frequency Copier,10,0.005,3,21
3,1v3,Random | Random | Random | Frequency Copier,Frequency Copier,10,0.01,3,15
3,1v3,Random | Random | Random | Frequency Copier,Frequency Copier,10,0.02,3,13
3,1v3,Random | Random | Random | Frequency Copier,Frequency Copier,20,0.005,5,35
3,1v3,Random | Random | Random | Frequency Copier,Frequency Copier,20,0.01,5,26
3,1v3,Random | Random | Random | Frequency Copier,Frequency Copier,20,0.02,5,24
3,1v3,Random | Random | Random | Frequency Copier,Frequency Copier,30,0.005,7,47
3,1v3,Random | Random | Random | Frequency Copier,Frequency Copier,30,0.01,7,37
3,1v3,Random | Random | Random | Frequency Copier,Frequency Copier,30,0.02,7,34
4,1v3,Random | Random | Random | Anti Copier,Random 1,10,0.005,3,34
4,1v3,Random | Random | Random | Anti Copier,Random 1,10,0.01,3,27
4,1v3,Random | Random | Random | Anti Copier,Random 1,10,0.02,3,21
4,1v3,Random | Random | Random | Anti Copier,Random 1,20,0.005,5,53
4,1v3,Random | Random | Random | Anti Copier,Random 1,20,0.01,5,41
4,1v3,Random | Random | Random | Anti Copier,Random 1,20,0.02,5,33
4,1v3,Random | Random | Random | Anti Copier,Random 1,30,0.005,7,68
4,1v3,Random | Random | Random | Anti Copier,Random 1,30,0.01,7,54
4,1v3,Random | Random | Random | Anti Copier,Random 1,30,0.02,7,45
4,1v3,Random | Random | Random | Anti Copier,Random 2,10,0.005,3,32
4,1v3,Random | Random | Random | Anti Copier,Random 2,10,0.01,3,25
4,1v3,Random | Random | Random | Anti Copier,Random 2,10,0.02,3,20
4,1v3,Random | Random | Random | Anti Copier,Random 2,20,0.005,5,48
4,1v3,Random | Random | Random | Anti Copier,Random 2,20,0.01,5,38
4,1v3,Random | Random | Random | Anti Copier,Random 2,20,0.02,5,32
4,1v3,Random | Random | Random | Anti Copier,Random 2,30,0.005,7,62
4,1v3,Random | Random | Random | Anti Copier,Random 2,30,0.01,7,49
4,1v3,Random | Random | Random | Anti Copier,Random 2,30,0.02,7,43
4,1v3,Random | Random | Random | Anti Copier,Random 3,10,0.005,3,34
4,1v3,Random | Random | Random | Anti Copier,Random 3,10,0.01,3,28
4,1v3,Random | Random | Random | Anti Copier,Random 3,10,0.02,3,21
