ruleset,simulation_id,sim_type,roster,agent,w,eps,c,convergence_round
baseline,1,1v3,Random | Random | Random | Leader Copier,Random 1,10,0.005,3,38
baseline,1,1v3,Random | Random | Random | Leader Copier,Random 1,10,0.01,3,26
baseline,1,1v3,Random | Random | Random | Leader Copier,Random 1,10,0.02,3,21
baseline,1,1v3,Random | Random | Random | Leader Copier,Random 1,20,0.005,5,54
baseline,1,1v3,Random | Random | Random | Leader Copier,Random 1,20,0.01,5,44
baseline,1,1v3,Random | Random | Random | Leader Copier,Random 1,20,0.02,5,34
baseline,1,1v3,Random | Random | Random | Leader Copier,Random 1,30,0.005,7,69
baseline,1,1v3,Random | Random | Random | Leader Copier,Random 1,30,0.01,7,55
baseline,1,1v3,Random | Random | Random | Leader Copier,Random 1,30,0.02,7,45
baseline,1,1v3,Random | Random | Random | Leader Copier,Random 2,10,0.005,3,35
baseline,1,1v3,Random | Random | Random | Leader Copier,Random 2,10,0.01,3,26
baseline,1,1v3,Random | Random | Random | Leader Copier,Random 2,10,0.02,3,21
baseline,1,1v3,Random | Random | Random | Leader Copier,Random 2,20,0.005,5,51
baseline,1,1v3,Random | Random | Random | Leader Copier,Random 2,20,0.01,5,40
baseline,1,1v3,Random | Random | Random | Leader Copier,Random 2,20,0.02,5,33
baseline,1,1v3,Random | Random | Random | Leader Copier,Random 2,30,0.005,7,70
baseline,1,1v3,Random | Random | Random | Leader Copier,Random 2,30,0.01,7,54
baseline,1,1v3,Random | Random | Random | Leader Copier,Random 2,30,0.02,7,44
baseline,1,1v3,Random | Random | Random | Leader Copier,Random 3,10,0.005,3,35
baseline,1,1v3,Random | Random | Random | Leader Copier,Random 3,10,0.01,3,28
baseline,1,1v3,Random | Random | Random | Leader Copier,Random 3,10,0.02,3,20
baseline,1,1v3,Random | Random | Random | Leader Copier,Random 3,20,0.005,5,53
baseline,1,1v3,Random | Random | Random | Leader Copier,Random 3,20,0.01,5,41
baseline,1,1v3,Random | Random | Random | Leader Copier,Random 3,20,0.02,5,33
baseline,1,1v3,Random | Random | Random | Leader Copier,Random 3,30,0.005,7,67
baseline,1,1v3,Random | Random | Random | Leader Copier,Random 3,30,0.01,7,54
baseline,1,1v3,Random | Random | Random | Leader Copier,Random 3,30,0.02,7,45
baseline,1,1v3,Random | Random | Random | Leader Copier,Leader Copier,10,0.005,3,73
baseline,1,1v3,Random | Random | Random | Leader Copier,Leader Copier,10,0.01,3,47
baseline,1,1v3,Random | Random | Random | Leader Copier,Leader Copier,10,0.02,3,31
baseline,1,1v3,Random | Random | Random | Leader Copier,Leader Copier,20,0.005,5,
baseline,1,1v3,Random | Random | Random | Leader Copier,Leader Copier,20,0.01,5,78
baseline,1,1v3,Random | Random | Random | Leader Copier,Leader Copier,20,0.02,5,53
baseline,1,1v3,Random | Random | Random | Leader Copier,Leader Copier,30,0.005,7,
baseline,1,1v3,Random | Random | Random | Leader Copier,Leader Copier,30,0.01,7,
baseline,1,1v3,Random | Random | Random | Leader Copier,Leader Copier,30,0.02,7,73
baseline,2,1v3,Random | Random | Random | Self Copier,Random 1,10,0.005,3,36
baseline,2,1v3,Random | Random | Random | Self Copier,Random 1,10,0.01,3,24
baseline,2,1v3,Random | Random | Random | Self Copier,Random 1,10,0.02,3,20
baseline,2,1v3,Random | Random | Random | Self Copier,Random 1,20,0.005,5,53
baseline,2,1v3,Random | Random | Random | Self Copier,Random 1,20,0.01,5,40
baseline,2,1v3,Random | Random | Random | Self Copier,Random 1,20,0.02,5,32
baseline,2,1v3,Random | Random | Random | Self Copier,Random 1,30,0.005,7,63
baseline,2,1v3,Random | Random | Random | Self Copier,Random 1,30,0.01,7,54
baseline,2,1v3,Random | Random | Random | Self Copier,Random 1,30,0.02,7,43
baseline,2,1v3,Random | Random | Random | Self Copier,Random 2,10,0.005,3,33
