n_players,n_tiles,agent,win_pct,mean_score,random_mean_score
3,3,Leader Copier,12.5,78.7,84.1
3,3,Self Copier,20.4,83.4,83.6
3,3,Frequency Copier,0.0,64.0,86.0
3,3,Anti Copier,100.0,122.7,78.7
3,4,Leader Copier,82.0,86.1,76.0
3,4,Self Copier,97.9,89.3,75.8
3,4,Frequency Copier,12.3,72.3,77.0
3,4,Anti Copier,100.0,124.5,73.5
3,5,Leader Copier,99.2,91.0,67.6
3,5,Self Copier,100.0,92.4,67.5
3,5,Frequency Copier,81.1,77.6,68.1
3,5,Anti Copier,100.0,123.2,66.2
3,6,Leader Copier,100.0,93.5,60.3
3,6,Self Copier,100.0,93.9,60.3
3,6,Frequency Copier,99.1,81.2,60.6
3,6,Anti Copier,100.0,121.4,59.5
4,3,Leader Copier,0.3,69.1,82.6
4,3,Self Copier,0.0,72.6,82.5
4,3,Frequency Copier,0.0,44.4,83.6
4,3,Anti Copier,100.0,115.0,80.8
4,4,Leader Copier,7.2,77.8,83.4
4,4,Self Copier,11.7,83.2,83.3
4,4,Frequency Copier,0.0,51.4,83.8
4,4,Anti Copier,100.0,124.4,82.6
4,5,Leader Copier,49.2,83.0,78.5
4,5,Self Copier,83.9,88.4,78.6
4,5,Frequency Copier,0.0,57.3,78.8
4,5,Anti Copier,100.0,126.4,78.2
4,6,Leader Copier,88.5,87.5,72.7
4,6,Self Copier,99.4,91.3,72.7
4,6,Frequency Copier,1.0,62.1,72.7
4,6,Anti Copier,100.0,126.0,72.5
5,3,Leader Copier,0.1,57.4,71.8
5,3,Self Copier,0.0,58.8,71.8
5,3,Frequency Copier,0.0,39.4,72.0
5,3,Anti Copier,100.0,111.9,71.2
5,4,Leader Copier,0.5,69.5,81.3
5,4,Self Copier,0.1,73.3,81.2
5,4,Frequency Copier,0.0,42.2,81.4
5,4,Anti Copier,100.0,128.9,81.0
5,5,Leader Copier,5.3,76.0,81.5
5,5,Self Copier,8.5,81.2,81.5
5,5,Frequency Copier,0.0,44.8,81.5
5,5,Anti Copier,100.0,133.4,81.4
5,6,Leader Copier,28.0,80.0,78.4
5,6,Self Copier,60.7,86.0,78.4
5,6,Frequency Copier,0.0,47.8,78.4
5,6,Anti Copier,100.0,133.7,78.3
6,3,Leader Copier,0.1,45.2,58.9
6,3,Self Copier,0.0,46.1,58.9
6,3,Frequency Copier,0.0,32.9,59.0
6,3,Anti Copier,100.0,98.7,58.7
6,4,Leader Copier,0.1,60.4,74.8
6,4,Self Copier,0.0,63.1,74.8
6,4,Frequency Copier,0.0,39.5,74.8
6,4,Anti Copier,100.0,122.4,74.7
6,5,Leader Copier,0.5,69.1,79.9
6,5,Self Copier,0.3,73.3,79.9
6,5,Frequency Copier,0.0,41.1,79.9
6,5,Anti Copier,100.0,131.1,79.9
6,6,Leader Copier,3.9,74.4,80.0
6,6,Self Copier,6.3,79.7,80.0
6,6,Frequency Copier,0.0,41.7,80.0
6,6,Anti Copier,100.0,133.8,80.0
